branch	status	old_path	new_path
aether	R100	crates/aether-ai-formats/src/provider_compat/kiro_stream/stream/tests.rs	crates/aether-ai/formats/src/provider_compat/kiro_stream/stream/tests.rs
aether	R100	crates/aether-ai-formats/src/provider_compat/mod.rs	crates/aether-ai/formats/src/provider_compat/mod.rs
aether	R100	crates/aether-ai-formats/src/provider_compat/proxy/mod.rs	crates/aether-ai/formats/src/provider_compat/proxy/mod.rs
aether	R100	crates/aether-ai-formats/src/provider_compat/proxy/rules.rs	crates/aether-ai/formats/src/provider_compat/proxy/rules.rs
aether	R081	crates/aether-ai-formats/src/provider_compat/surfaces.rs	crates/aether-ai/formats/src/provider_compat/surfaces.rs
aether	R095	crates/aether-ai-serving/Cargo.toml	crates/aether-ai/serving/Cargo.toml
aether	R058	crates/aether-ai-serving/src/attempt_plan.rs	crates/aether-ai/serving/src/attempt_plan.rs
aether	R100	crates/aether-ai-serving/src/candidate_materialization.rs	crates/aether-ai/serving/src/candidate_materialization.rs
aether	R100	crates/aether-ai-serving/src/candidate_metadata.rs	crates/aether-ai/serving/src/candidate_metadata.rs
aether	R100	crates/aether-ai-serving/src/candidate_persistence.rs	crates/aether-ai/serving/src/candidate_persistence.rs
aether	R100	crates/aether-ai-serving/src/candidate_persistence_policy.rs	crates/aether-ai/serving/src/candidate_persistence_policy.rs
aether	R100	crates/aether-ai-serving/src/candidate_preparation.rs	crates/aether-ai/serving/src/candidate_preparation.rs
aether	R100	crates/aether-ai-serving/src/candidate_preselection.rs	crates/aether-ai/serving/src/candidate_preselection.rs
aether	R100	crates/aether-ai-serving/src/candidate_ranking.rs	crates/aether-ai/serving/src/candidate_ranking.rs
aether	R100	crates/aether-ai-serving/src/candidate_resolution.rs	crates/aether-ai/serving/src/candidate_resolution.rs
aether	R100	crates/aether-ai-serving/src/decision_input.rs	crates/aether-ai/serving/src/decision_input.rs
aether	R100	crates/aether-ai-serving/src/decision_path.rs	crates/aether-ai/serving/src/decision_path.rs
aether	R095	crates/aether-ai-serving/src/decision_payload.rs	crates/aether-ai/serving/src/decision_payload.rs
aether	R085	crates/aether-ai-serving/src/dto.rs	crates/aether-ai/serving/src/dto.rs
aether	R073	crates/aether-ai-serving/src/execution_path.rs	crates/aether-ai/serving/src/execution_path.rs
aether	R082	crates/aether-ai-serving/src/failure_diagnostic.rs	crates/aether-ai/serving/src/failure_diagnostic.rs
aether	R091	crates/aether-ai-serving/src/lib.rs	crates/aether-ai/serving/src/lib.rs
aether	R100	crates/aether-ai-serving/src/plan_payload.rs	crates/aether-ai/serving/src/plan_payload.rs
aether	R100	crates/aether-ai-serving/src/ports.rs	crates/aether-ai/serving/src/ports.rs
aether	R100	crates/aether-ai-serving/src/ranking_metadata.rs	crates/aether-ai/serving/src/ranking_metadata.rs
aether	R099	crates/aether-ai-serving/src/report_context.rs	crates/aether-ai/serving/src/report_context.rs
aether	R068	crates/aether-ai-serving/src/request_body_diagnostics.rs	crates/aether-ai/serving/src/request_body_diagnostics.rs
aether	R094	crates/aether-ai-serving/src/runtime_miss.rs	crates/aether-ai/serving/src/runtime_miss.rs
aether	R085	crates/aether-ai-serving/src/surface_spec.rs	crates/aether-ai/serving/src/surface_spec.rs
aether	R100	crates/aether-data/migrations/mysql/20260403000000_baseline.sql	crates/aether-data/adapters/mysql/migrations/20260403000000_baseline.sql
aether	R100	crates/aether-data/migrations/mysql/20260507120000_add_management_token_permissions.sql	crates/aether-data/adapters/mysql/migrations/20260507120000_add_management_token_permissions.sql
aether	R100	crates/aether-data/migrations/mysql/20260508000000_add_proxy_node_metrics.sql	crates/aether-data/adapters/mysql/migrations/20260508000000_add_proxy_node_metrics.sql
aether	R100	crates/aether-data/migrations/mysql/20260509000000_add_background_tasks.sql	crates/aether-data/adapters/mysql/migrations/20260509000000_add_background_tasks.sql
aether	R100	crates/aether-data/migrations/mysql/20260509120000_add_user_groups.sql	crates/aether-data/adapters/mysql/migrations/20260509120000_add_user_groups.sql
aether	R100	crates/aether-data/migrations/mysql/20260510120000_normalize_empty_user_policy_modes.sql	crates/aether-data/adapters/mysql/migrations/20260510120000_normalize_empty_user_policy_modes.sql
aether	R100	crates/aether-data/migrations/mysql/20260511120000_exclude_admins_from_default_user_group.sql	crates/aether-data/adapters/mysql/migrations/20260511120000_exclude_admins_from_default_user_group.sql
aether	R100	crates/aether-data/migrations/mysql/20260511130000_add_pool_member_scores.sql	crates/aether-data/adapters/mysql/migrations/20260511130000_add_pool_member_scores.sql
aether	R100	crates/aether-data/migrations/mysql/20260512000000_add_feature_settings.sql	crates/aether-data/adapters/mysql/migrations/20260512000000_add_feature_settings.sql
aether	R100	crates/aether-data/migrations/mysql/20260512090000_add_payment_gateway_plans.sql	crates/aether-data/adapters/mysql/migrations/20260512090000_add_payment_gateway_plans.sql
aether	R100	crates/aether-data/migrations/mysql/20260512110000_add_billing_plan_purchase_limit_scope.sql	crates/aether-data/adapters/mysql/migrations/20260512110000_add_billing_plan_purchase_limit_scope.sql
aether	R100	crates/aether-data/migrations/mysql/20260516000000_add_routing_profiles.sql	crates/aether-data/adapters/mysql/migrations/20260516000000_add_routing_profiles.sql
aether	R100	crates/aether-data/migrations/mysql/20260518000000_add_usage_counter_deltas.sql	crates/aether-data/adapters/mysql/migrations/20260518000000_add_usage_counter_deltas.sql
aether	R100	crates/aether-data/migrations/mysql/20260519000000_add_referrals_privacy_required_announcements.sql	crates/aether-data/adapters/mysql/migrations/20260519000000_add_referrals_privacy_required_announcements.sql
aether	R100	crates/aether-data/migrations/mysql/20260519120000_add_oauth_provider_icon_url.sql	crates/aether-data/adapters/mysql/migrations/20260519120000_add_oauth_provider_icon_url.sql
aether	R100	crates/aether-data/migrations/mysql/20260519130000_add_provider_api_key_default_pool_sort_index.sql	crates/aether-data/adapters/mysql/migrations/20260519130000_add_provider_api_key_default_pool_sort_index.sql
aether	R097	crates/aether-data/src/repository/announcements/mysql.rs	crates/aether-data/adapters/mysql/src/announcements.rs
aether	R093	crates/aether-data/src/repository/auth/mysql.rs	crates/aether-data/adapters/mysql/src/auth.rs
aether	R081	crates/aether-data/src/repository/auth_modules/mysql.rs	crates/aether-data/adapters/mysql/src/auth_modules.rs
